id,attachment_count,attachments_json,tag_count,tags_json
1,0,[],0,[]
2,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\能源价格与房地产市场波动——来自中国地级市层面的经验证据.pdf""]",0,[]
3,0,[],0,[]
4,0,[],0,[]
5,0,[],0,[]
6,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\中国房地产企业间系统性风险溢出效应分析——基于尾部风险网络模型.pdf""]",0,[]
7,0,[],0,[]
8,0,[],0,[]
9,0,[],0,[]
10,0,[],0,[]
11,0,[],0,[]
12,0,[],0,[]
13,0,[],0,[]
14,0,[],0,[]
15,0,[],0,[]
16,0,[],0,[]
17,0,[],0,[]
18,0,[],0,[]
19,0,[],0,[]
20,0,[],0,[]
21,0,[],0,[]
22,0,[],0,[]
23,0,[],0,[]
24,0,[],0,[]
25,0,[],0,[]
26,0,[],0,[]
27,0,[],0,[]
28,0,[],0,[]
29,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\银行资产负债结构对金融风险传染的影响.pdf""]",0,[]
30,0,[],0,[]
31,0,[],0,[]
32,0,[],0,[]
33,0,[],0,[]
34,0,[],0,[]
35,0,[],0,[]
36,0,[],0,[]
37,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\基于新闻大数据与机器学习的中国银行业系统性风险研究.pdf""]",0,[]
38,0,[],0,[]
39,0,[],0,[]
40,0,[],0,[]
41,0,[],0,[]
42,0,[],0,[]
43,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\金融强监管、影子银行与银行系统性风险.pdf""]",0,[]
44,0,[],0,[]
45,0,[],0,[]
46,0,[],0,[]
47,0,[],0,[]
48,0,[],0,[]
49,0,[],0,[]
50,0,[],0,[]
51,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\系统性风险、抛售博弈与宏观审慎政策.pdf""]",0,[]
52,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\金融稳定沟通与银行系统性风险.pdf""]",0,[]
53,0,[],0,[]
54,0,[],0,[]
55,0,[],0,[]
56,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\银行系统性风险多渠道形成机制及测度研究.pdf""]",0,[]
57,0,[],0,[]
58,0,[],0,[]
59,0,[],0,[]
60,0,[],0,[]
61,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\外部冲击下系统性金融风险的生成机制.pdf""]",0,[]
62,0,[],0,[]
63,1,"[""C:\\Users\\Ethan\\CoreFiles\\ProjectsFile\\AcademicResearch-auto-workflow\\workspace\\references\\attachments\\新常态下中国银行业的改革与创新.pdf""]",0,[]
